Year,AustralianPort,Passengers_Total,Freight_Total_(tonnes),Mail_Total_(tonnes)
1985,Brisbane,492466,12130.700000000013,232.58800000000008
1985,Melbourne,1174440,66334.82600000007,1191.711
1985,Perth,500882,20383.478000000006,171.461
1985,Sydney,2772120,126730.19500000005,2851.574999999999
1986,Brisbane,576663,13925.563999999998,303.24999999999994
1986,Melbourne,1273079,71490.82399999996,1373.6570000000002
1986,Perth,566366,21985.30800000003,224.04900000000004
1986,Sydney,3086337,134369.4940000001,2952.976999999999
1987,Brisbane,697453,17614.530000000017,402.02899999999994
1987,Melbourne,1418691,81625.18900000004,1691.2399999999996
1987,Perth,649199,21258.848999999995,277.87399999999997
1987,Sydney,3569509,158198.254,3512.471000000002
1988,Brisbane,958795,23941.052000000007,756.0310000000002
1988,Melbourne,1539270,82908.45899999993,3196.3359999999975
1988,Perth,714111,22552.867000000006,545.534
1988,Sydney,4106460,169022.58999999982,6642.486999999995
1989,Brisbane,946067,29846.663,1052.27
1989,Melbourne,1629282,88551.951,4359.31
1989,Perth,811754,23965.682000000004,790.5650000000002
1989,Sydney,4026296,193957.31399999998,8934.255999999996
1990,Brisbane,1062737,31117.69400000002,1213.8830000000003
1990,Melbourne,1717191,93154.70499999997,4459.9109999999955
1990,Perth,860816,25221.37599999999,887.3159999999996
1990,Sydney,4264091,195776.00100000008,9868.353000000008
1991,Brisbane,1202170,35362.18999999999,1236.3240000000003
1991,Melbourne,1703866,87384.525,4458.934000000001
1991,Perth,824172,29249.644999999997,877.0639999999994
1991,Sydney,4220272,193499.30200000005,9994.147000000014
1992,Brisbane,1312939,38289.61699999999,1440.426
1992,Melbourne,1737956,93725.19899999989,4513.501999999999
1992,Perth,897290,35254.63600000002,871.3399999999993
1992,Sydney,4505656,221646.05800000016,9930.052999999994
1993,Brisbane,1542211,45767.913000000044,1678.6999999999996
1993,Melbourne,1847877,110494.55200000003,5166.568000000002
1993,Perth,1000869,35999.45200000002,998.51
1993,Sydney,4778015,242932.40599999987,9848.983999999999
1994,Brisbane,1686057,51618.636,1664.8700000000006
1994,Melbourne,1871508,126290.82599999996,4993.2559999999985
1994,Perth,1121046,39704.44500000001,1064.9660000000001
1994,Sydney,5358494,278912.2499999999,10262.975999999995
1995,Brisbane,1965327,56067.06000000004,2107.008999999999
1995,Melbourne,2011154,140186.2930000001,5158.22
1995,Perth,1190837,38018.62100000002,1094.6400000000003
1995,Sydney,5838451,289008.19999999995,10368.934999999989
1996,Brisbane,2192110,60275.93999999999,2034.9689999999998
1996,Melbourne,2193309,150224.874,5440.3340000000035
1996,Perth,1292127,40918.852,1153.8230000000005
1996,Sydney,6477744,303960.7750000001,11239.400999999996
1997,Brisbane,2294900,73588.31299999998,2155.4910000000013
1997,Melbourne,2373135,162527.50999999995,5115.360000000003
1997,Perth,1399514,45971.546999999984,1151.214
1997,Sydney,6840696,338924.03400000004,13239.084000000008
1998,Brisbane,2251240,72059.14899999995,1694.1429999999996
1998,Melbourne,2489132,152633.89999999988,4940.143
1998,Perth,1434077,47586.298,1314.285
1998,Sydney,6933551,335499.76500000013,15108.681999999995
1999,Brisbane,2375767,74090.65199999997,2224.7089999999985
1999,Melbourne,2654807,185431.21100000024,5259.815999999998
1999,Perth,1474898,48937.55799999998,1483.1939999999993
1999,Sydney,7388153,349774.07200000004,15826.529000000004
2000,Brisbane,2461378,79086.54200000003,2687.519
2000,Melbourne,3043629,199483.2480000002,6273.0509999999995
2000,Perth,1580622,50245.62299999997,1590.7400000000007
2000,Sydney,8237223,328750.6639999998,17722.07799999999
2001,Brisbane,2547720,76304.14099999999,2947.421
2001,Melbourne,3315572,180510.04700000005,6625.5930000000035
2001,Perth,1587379,54700.87999999998,1672.3939999999993
2001,Sydney,8228973,305817.4009999999,16775.270000000015
2002,Brisbane,2493082,74552.19299999993,3023.4510000000014
2002,Melbourne,3313751,192049.48799999987,6739.752999999999
2002,Perth,1636422,50962.40900000001,1770.9959999999996
2002,Sydney,8006775,305379.595,16386.83900000002
2003,Brisbane,2549444,66911.40400000002,2534.1069999999995
2003,Melbourne,3199534,179657.60900000003,6305.715
2003,Perth,1586622,51333.57799999998,1391.0740000000008
2003,Sydney,7929841,287161.66400000005,17423.565000000013
2004,Brisbane,3266481,77893.278,2854.1799999999985
2004,Melbourne,3936435,194240.92200000002,6745.603999999999
2004,Perth,1827389,55383.330000000016,1536.817
2004,Sydney,8951825,323603.61199999996,17228.916000000005
2005,Brisbane,3606690,81010.10400000002,2836.749999999999
2005,Melbourne,4224635,196477.8749999999,7185.446000000002
2005,Perth,2007025,56623.80699999998,1454.222
2005,Sydney,9515983,346563.21299999964,18754.479999999985
2006,Brisbane,3763314,89769.88399999995,3063.0319999999974
2006,Melbourne,4291290,200727.77999999985,7975.001000000001
2006,Perth,2034877,63962.611999999994,1470.4280000000006
2006,Sydney,9865970,363299.7960000001,18766.389000000014
2007,Brisbane,3921752,86375.43600000002,3497.2129999999993
2007,Melbourne,4565084,203307.0060000001,8708.827000000001
2007,Perth,2373568,66360.06699999998,1717.5629999999992
2007,Sydney,10378240,379762.74800000025,21970.442999999992
2008,Brisbane,4035790,86151.50600000002,3891.2709999999984
2008,Melbourne,4732544,200065.481,9066.210000000001
2008,Perth,2533022,67960.96300000002,1991.0099999999998
2008,Sydney,10552900,374539.5150000003,23718.00000000003
2009,Brisbane,4117171,81203.03799999997,3534.9820000000027
2009,Melbourne,5130352,192957.41900000008,8463.456999999999
2009,Perth,2774737,60970.14000000002,1689.9900000000002
2009,Sydney,10635270,349934.6480000004,22256.610999999994
2010,Brisbane,4282257,95351.26800000007,3918.6769999999988
2010,Melbourne,5872511,216868.70299999995,9534.816
2010,Perth,3133709,71186.637,1597.869
2010,Sydney,11455537,391059.87599999993,24096.445
2011,Brisbane,4444867,101306.98600000002,4433.116000000002
2011,Melbourne,6460958,228322.83899999995,10352.236000000003
2011,Perth,3349468,69877.84699999998,1441.5530000000003
2011,Sydney,11748582,408593.4180000001,26958.604999999996
2012,Brisbane,4471413,103090.90100000009,4611.991000000003
2012,Melbourne,6819242,238095.83899999995,9974.427999999998
2012,Perth,3618768,79426.09800000001,1584.7439999999997
2012,Sydney,12369193,418242.16999999946,26304.48599999999
2013,Brisbane,4669141,106075.54500000001,4359.100000000002
2013,Melbourne,7312143,245344.98499999993,9453.671000000004
2013,Perth,3919840,81955.91699999999,1599.7580000000005
2013,Sydney,12933885,413568.6550000002,24482.23699999998
2014,Brisbane,4964981,114352.60300000009,3856.171
2014,Melbourne,8022466,259870.7909999999,10669.041000000008
2014,Perth,4180407,84993.45300000001,1262.8359999999998
2014,Sydney,13315835,411083.6439999999,25019.84400000001
2015,Brisbane,5238522,123341.04000000001,3260.701999999998
2015,Melbourne,8859316,287199.9070000001,10248.943
2015,Perth,4192833,94577.42000000001,1011.175
2015,Sydney,13911228,443373.63499999983,22478.601
2016,Brisbane,2156276,47566.95599999999,1163.755
2016,Melbourne,3867282,118408.20300000002,3615.8250000000007
2016,Perth,1772603,39400.202000000005,277.26500000000004
2016,Sydney,6186627,190861.84300000005,8788.412999999997
